environment | time (millisecond),membrane | i_to_plus_p_K_0 (picoA_per_picoF),membrane | i_to_plus_p_K_10 (picoA_per_picoF),membrane | i_to_plus_p_K_20 (picoA_per_picoF),membrane | i_to_plus_p_K_30 (picoA_per_picoF),membrane | i_to_plus_p_K_40 (picoA_per_picoF),membrane | i_to_plus_p_K_50 (picoA_per_picoF),membrane | i_to_plus_p_K_60 (picoA_per_picoF),membrane | i_to_plus_p_K_70 (picoA_per_picoF),membrane | i_to_plus_p_K_80 (picoA_per_picoF),membrane | i_to_plus_p_K_neg10 (picoA_per_picoF),membrane | i_to_plus_p_K_neg20 (picoA_per_picoF),membrane | i_to_plus_p_K_neg30 (picoA_per_picoF)
184,0.0326133,0.117546,0.47206,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.010303,0.004074,0.00107177
185,0.0325548,0.117398,0.471978,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102954,0.00406917,0.00107041
186,0.032497,0.117253,0.4719,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102878,0.00406448,0.00106908
187,0.0324398,0.117112,0.471825,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102804,0.00405991,0.00106777
188,0.0323832,0.116975,0.471755,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.010273,0.00405548,0.00106649
189,0.0323271,0.11684,0.471689,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102657,0.00405116,0.00106522
190,0.0322716,0.116708,0.471626,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102585,0.00404695,0.00106398
191,0.0322167,0.11658,0.471567,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102514,0.00404285,0.00106276
192,0.0321623,0.116454,0.471511,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102444,0.00403885,0.00106156
193,0.0321084,0.116331,0.471458,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102374,0.00403495,0.00106038
194,0.032055,0.116211,0.471408,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102304,0.00403115,0.00105922
195,0.0320022,0.116093,0.471362,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102236,0.00402743,0.00105808
196,0.0319498,0.115978,0.471318,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102168,0.0040238,0.00105695
197,0.031898,0.115866,0.471277,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.01021,0.00402025,0.00105585
198,0.0318466,0.115756,0.471238,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0102033,0.00401678,0.00105476
199,0.0317957,0.115648,0.471202,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101966,0.00401338,0.00105369
200,0.0317452,0.115543,0.471168,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.01019,0.00401005,0.00105264
201,0.0316952,0.11544,0.471137,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101834,0.00400679,0.00105161
202,0.0316457,0.115339,0.471107,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101769,0.0040036,0.00105059
203,0.0315966,0.11524,0.471079,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101704,0.00400047,0.00104959
204,0.0315479,0.115143,0.471053,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.010164,0.00399739,0.00104861
205,0.0314996,0.115049,0.471029,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101576,0.00399438,0.00104764
206,0.0314518,0.114956,0.471006,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101512,0.00399141,0.00104668
207,0.0314044,0.114865,0.470985,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101449,0.0039885,0.00104575
208,0.0313574,0.114776,0.470966,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101386,0.00398564,0.00104482
209,0.0313108,0.114688,0.470947,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101324,0.00398283,0.00104391
210,0.0312646,0.114603,0.47093,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101261,0.00398006,0.00104302
211,0.0312188,0.114519,0.470914,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101199,0.00397734,0.00104214
212,0.0311734,0.114437,0.470899,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101138,0.00397465,0.00104127
213,0.0311283,0.114356,0.470886,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101077,0.00397201,0.00104041
214,0.0310837,0.114277,0.470873,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0101016,0.00396941,0.00103957
215,0.0310394,0.114199,0.470861,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100955,0.00396684,0.00103874
216,0.0309954,0.114123,0.47085,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100895,0.00396431,0.00103792
217,0.0309519,0.114048,0.47084,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100834,0.00396181,0.00103712
218,0.0309087,0.113975,0.47083,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100775,0.00395935,0.00103632
219,0.0308658,0.113903,0.470821,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0100715,0.00395691,0.00103554
