environment | time (millisecond),membrane | i_to_plus_p_K_0 (picoA_per_picoF),membrane | i_to_plus_p_K_10 (picoA_per_picoF),membrane | i_to_plus_p_K_20 (picoA_per_picoF),membrane | i_to_plus_p_K_30 (picoA_per_picoF),membrane | i_to_plus_p_K_40 (picoA_per_picoF),membrane | i_to_plus_p_K_50 (picoA_per_picoF),membrane | i_to_plus_p_K_60 (picoA_per_picoF),membrane | i_to_plus_p_K_70 (picoA_per_picoF),membrane | i_to_plus_p_K_80 (picoA_per_picoF),membrane | i_to_plus_p_K_neg10 (picoA_per_picoF),membrane | i_to_plus_p_K_neg20 (picoA_per_picoF),membrane | i_to_plus_p_K_neg30 (picoA_per_picoF)
180,0.041907,0.125565,0.471944,1.18799,1.70968,1.96482,2.13472,2.28562,2.4326,0.0226248,0.0124683,0.00371606
181,0.0418681,0.125488,0.471851,1.18799,1.70968,1.96481,2.13472,2.28562,2.43261,0.0226054,0.0124395,0.00370902
182,0.0418298,0.125411,0.471764,1.18799,1.70968,1.9648,2.13472,2.28562,2.4326,0.0225863,0.0124114,0.00370208
183,0.0417921,0.125334,0.471684,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0225674,0.012384,0.00369524
184,0.0417549,0.125256,0.471609,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0225489,0.0123571,0.0036885
185,0.0417181,0.125178,0.471539,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0225306,0.0123308,0.00368185
186,0.0416818,0.1251,0.471475,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0225124,0.012305,0.0036753
187,0.041646,0.125021,0.471416,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0224945,0.0122798,0.00366885
188,0.0416105,0.124941,0.47136,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0224768,0.012255,0.00366249
189,0.0415754,0.124861,0.471309,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0224592,0.0122307,0.00365621
190,0.0415407,0.124781,0.471262,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0224418,0.0122069,0.00365003
191,0.0415063,0.1247,0.471218,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0224245,0.0121834,0.00364393
192,0.0414723,0.124618,0.471178,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0224073,0.0121604,0.00363792
193,0.0414386,0.124536,0.47114,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0223902,0.0121378,0.00363199
194,0.0414052,0.124453,0.471106,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0223732,0.0121155,0.00362614
195,0.0413721,0.124369,0.471074,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0223563,0.0120937,0.00362038
196,0.0413393,0.124284,0.471045,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0223395,0.0120721,0.00361469
197,0.0413067,0.124198,0.471017,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0223228,0.0120509,0.00360908
198,0.0412745,0.124112,0.470992,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0223061,0.0120299,0.00360354
199,0.0412424,0.124025,0.470969,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0222894,0.0120093,0.00359808
200,0.0412107,0.123937,0.470948,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0222729,0.011989,0.00359269
201,0.0411791,0.123848,0.470928,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0222563,0.0119689,0.00358737
202,0.0411478,0.123758,0.47091,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0222398,0.0119491,0.00358212
203,0.0411168,0.123667,0.470894,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0222234,0.0119295,0.00357694
204,0.0410859,0.123575,0.470878,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.022207,0.0119102,0.00357182
205,0.0410553,0.123482,0.470864,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0221906,0.0118911,0.00356677
206,0.0410249,0.123389,0.470851,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0221742,0.0118723,0.00356179
207,0.0409946,0.123294,0.47084,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0221579,0.0118536,0.00355686
208,0.0409646,0.123198,0.470829,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0221415,0.0118351,0.003552
209,0.0409348,0.123102,0.470819,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0221252,0.0118169,0.00354719
210,0.0409051,0.123004,0.47081,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0221089,0.0117988,0.00354245
211,0.0408757,0.122905,0.470801,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0220927,0.0117809,0.00353776
212,0.0408464,0.122806,0.470794,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0220764,0.0117632,0.00353313
213,0.0408173,0.122705,0.470787,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0220601,0.0117456,0.00352855
214,0.0407884,0.122603,0.47078,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0220439,0.0117282,0.00352403
215,0.0407596,0.122501,0.470774,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0220277,0.011711,0.00351955
216,0.040731,0.122397,0.470769,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0220114,0.0116939,0.00351513
217,0.0407025,0.122293,0.470764,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.0219952,0.0116769,0.00351076
218,0.0406742,0.122187,0.47076,1.18799,1.70968,1.96481,2.13472,2.28562,2.4326,0.021979,0.0116601,0.00350644
219,0.0406461,0.122081,0.470756,1.188,1.70968,1.96481,2.13472,2.28562,2.4326,0.0219627,0.0116434,0.00350217
220,0.0406181,0.121973,0.470752,1.188,1.70968,1.96481,2.13472,2.28562,2.4326,0.0219465,0.0116268,0.00349795
221,0.0405902,0.121865,0.470749,1.188,1.70968,1.96481,2.13472,2.28562,2.4326,0.0219303,0.0116104,0.00349377
